layer,prompt_idx,model,vecA_path,vecB_path,steer_layer,alpha_A,alpha_B,eps_A,eps_B,delta_l2,proj_A20,proj_B20,proj_A_L,proj_B_L,proj_A_transport,proj_B_transport,cos_tA_tB,category
19,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vec_cre_env
20,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,2.9731167554855347,2.210733509063721,2.208187258243561,2.210733509063721,2.208187258243561,2.1612019419670103,2.143901765346527,0.10842024409673276,vec_cre_env
21,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,3.3757102727890014,2.2760695576667787,2.2725937247276304,2.152884101867676,2.178870105743408,2.183623951673508,2.171917140483856,0.2199229493958693,vec_cre_env
22,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,3.681530165672302,2.308863437175751,2.2730106115341187,2.1747636079788206,2.199399471282959,2.1697502613067625,2.162602537870407,0.26136614436926736,vec_cre_env
23,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,3.937405228614807,2.346416914463043,2.2861361145973205,2.2224503338336943,2.2292858242988585,2.1757480263710023,2.1531670093536377,0.2893638068448208,vec_cre_env
24,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,4.21396689414978,2.3260454297065736,2.2953986287117005,2.1919947028160096,2.238019585609436,2.1854232251644135,2.1553783893585203,0.31358672073320654,vec_cre_env
25,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,4.5279394626617435,2.377056968212128,2.3358519673347473,2.2484212100505827,2.266839921474457,2.22336266040802,2.214734649658203,0.3322786235611117,vec_cre_env
26,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,4.923944354057312,2.42505829334259,2.3908469676971436,2.272642493247986,2.3505624771118163,2.2872548162937165,2.314593380689621,0.3812615882139716,vec_cre_env
27,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,5.319961094856263,2.446200120449066,2.4107499957084655,2.3113082706928254,2.3765376567840577,2.3673763990402223,2.403428542613983,0.3953317135498861,vec_cre_env
28,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,5.736850714683532,2.5064399361610414,2.459634983539581,2.336364656686783,2.403446853160858,2.425534051656723,2.450608080625534,0.40225324927565254,vec_cre_env
29,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,6.338523960113525,2.610383152961731,2.549922823905945,2.551307475566864,2.5079662799835205,2.6321666061878206,2.593496733903885,0.4039872971197818,vec_cre_env
30,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,7.231117129325867,2.6279163718223573,2.6601471185684202,2.6961116552352906,2.7178856253623964,2.7840377390384674,2.806834304332733,0.4110945858350322,vec_cre_env
31,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,20.0,2.0,2.0,0.1,0.1,12.086429023742676,1.6651362538337708,2.138879656791687,2.449087458848953,2.250252389907837,5.097327011823654,4.496654587984085,0.4435838973802711,vec_cre_env
